Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.05,10,32,888888,21,0.808827,0.3881,0.861932,0.3617,0.420773859,0.839455341,0.318623535,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,999999999,14,0.828467,0.363,0.863048,0.3638,0.414542801,0.834719297,0.344011681,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,1111,24,0.799632,0.3959,0.865261,0.3552,0.362539189,0.835749415,0.313143039,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,22,24,0.791467,0.4092,0.86441,0.3544,0.367384433,0.83609794,0.308477363,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,333,24,0.801911,0.3919,0.865243,0.3559,0.359893533,0.83506915,0.311303134,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.805245,0.3881,0.863941,0.3565,0.358616504,0.831993476,0.313825137,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,5555,25,0.793498,0.4039,0.864393,0.3542,0.365227888,0.834868412,0.308594744,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,66666,25,0.7954,0.401,0.864827,0.3554,0.364205331,0.83522216,0.309256966,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.802145,0.3913,0.864809,0.3558,0.359589257,0.83444409,0.309824684,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,888888,24,0.799554,0.3959,0.865261,0.3555,0.362482808,0.835749415,0.312986855,5,1,Transfer
ROBOD,LSTM,256,0.05,10,32,999999999,25,0.800661,0.3942,0.864844,0.3557,0.360519753,0.83426138,0.313718479,5,1,Transfer
ROBOD,LSTM,256,0.15,10,32,1111,25,0.833675,0.3464,0.708686,0.5708,0.430191918,0.62176998,0.314922717,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,22,25,0.833543,0.3454,0.708686,0.568,0.429825893,0.62176998,0.309542261,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,333,25,0.83341,0.3463,0.708686,0.5696,0.430612893,0.62176998,0.331449725,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,4444,25,0.835871,0.3425,0.703469,0.571,0.425066103,0.609368624,0.356714915,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,5555,25,0.835143,0.344,0.706859,0.5698,0.427707789,0.61623137,0.325121199,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,66666,25,0.835871,0.3423,0.703469,0.5705,0.425066103,0.609368624,0.373356436,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,77777,25,0.833477,0.3473,0.708686,0.5725,0.4304845,0.62176998,0.320313218,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,888888,25,0.833278,0.3473,0.708686,0.5721,0.430612893,0.62176998,0.329518071,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,999999999,25,0.833013,0.3468,0.708686,0.5702,0.430975862,0.62176998,0.312976698,1,2,Transfer
ROBOD,LSTM,256,0.15,10,32,1111,25,0.827988,0.346,0.77063,0.4926,0.444190692,0.720071172,0.392024865,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,22,24,0.828947,0.3405,0.76438,0.4914,0.439047303,0.706643937,0.401890098,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,333,25,0.828468,0.3448,0.769849,0.492,0.443427786,0.718737838,0.40027737,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,4444,25,0.832031,0.3354,0.75956,0.4908,0.434404744,0.697520419,0.395766653,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,5555,25,0.829427,0.3389,0.758779,0.4905,0.436906337,0.697751938,0.399805498,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,66666,22,0.829701,0.3384,0.760342,0.4931,0.43698236,0.700817598,0.41078196,2,2,Transfer
ROBOD,LSTM,256,0.15,10,32,77777,24,0.829701,0.3383,0.760342,0.492,0.436903669,0.700817598,0.388051382,2,2,Transfer
