Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,Train_days,Num_frozen_layers,Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,10,0.859154,0.3322,0.935008,0.1556,0.504370425,0.459570387,0.171836237,10,2,FALSE
HPDMobile,LSTM,512,0.025,15,32,888888,10,0.861593,0.3129,0.938982,0.1426,0.50408132,0.4604459,0.169780425,10,2,FALSE
HPDMobile,LSTM,512,0.025,15,32,333,13,0.86199,0.3329,0.934537,0.1482,0.504877581,0.458137081,0.149497291,10,2,FALSE
HPDMobile,LSTM,512,0.025,15,32,66666,13,0.860931,0.3485,0.93548,0.1517,0.506586273,0.45998318,0.151849357,10,2,FALSE
HPDMobile,LSTM,512,0.025,15,32,9999999,10,0.860236,0.3292,0.937567,0.1468,0.508310299,0.458917367,0.169834176,10,2,FALSE
HPDMobile,Naive,512,0.025,15,32,1111,1,0.434288,9.0467,0.311744,11.0092,0.423636732,0.346793148,9.771431919,2,2,FALSE
HPDMobile,Naive,512,0.025,15,32,1111,1,0.436398,9.0119,0.327054,10.7652,0.416953601,0.361799117,10.25108138,4,2,FALSE
HPDMobile,Naive,512,0.025,15,32,1111,1,0.426664,9.1678,0.421749,9.2396,0.410887893,0.383370973,10.56260657,6,2,FALSE
HPDMobile,Naive,512,0.025,15,32,1111,1,0.419104,9.2885,0.427356,9.1493,0.403851417,0.393473192,9.956939855,8,2,FALSE
HPDMobile,Naive,512,0.025,15,32,1111,1,0.420595,9.2644,0.336476,10.6021,0.401115483,0.335600331,9.433474529,10,2,FALSE
HPDMobile,LSTM,512,0.05,15,32,1111,2,0.88691,0.2793,0.884766,0.2241,0.448219398,0.356545194,0.263842807,6,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,0,9,0.856304,0.4958,0.967646,0.086,0.517965142,0.347381343,0.140409887,12,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,0,10,0.861105,0.3867,0.970024,0.0795,0.51749122,0.347409695,0.128372379,12,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,1111,8,0.858574,0.434,0.950899,0.1651,0.513431095,0.643762154,0.198632695,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,5555,8,0.856866,0.4253,0.945312,0.1696,0.512258147,0.640819635,0.188172946,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,5555,5,0.854917,0.4089,0.941452,0.1704,0.502794568,0.635493091,0.215746043,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,1111,7,0.846364,0.5101,0.942814,0.1694,0.508319988,0.636234367,0.200589355,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,66666,8,0.854186,0.4272,0.944041,0.1749,0.510211323,0.640055093,0.187565259,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,22,7,0.844605,0.537,0.943405,0.1689,0.509552618,0.636559541,0.194613009,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,66666,6,0.856675,0.4079,0.938681,0.1737,0.505054546,0.633936966,0.205155277,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,333,9,0.852437,0.4059,0.950536,0.1715,0.507633194,0.643538136,0.190539791,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,77777,5,0.857762,0.4136,0.943496,0.1706,0.506298269,0.636820045,0.215403525,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,333,7,0.852208,0.3789,0.93482,0.1795,0.499638925,0.631464623,0.209612345,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,4444,10,0.855657,0.4066,0.943178,0.1771,0.511309147,0.639543506,0.173470604,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,888888,10,0.858452,0.4481,0.950173,0.1652,0.513450464,0.643343458,0.188479819,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,4444,7,0.856819,0.4046,0.941997,0.1704,0.505008954,0.635743384,0.188414584,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,888888,4,0.850832,0.368,0.937591,0.1808,0.499535236,0.633269199,0.230277225,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,9999999,9,0.856212,0.4268,0.948219,0.1701,0.511860315,0.642326005,0.179683666,1,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,9999999,6,0.85552,0.3812,0.940452,0.1707,0.505049836,0.634968537,0.191759626,2,0,TRUE
HPDMobile,LSTM,512,0.05,15,32,0,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,0,True
HPDMobile,LSTM,512,0.05,15,32,0,0,0.490223,0.6941,0.000000,10000000000.0000,0.5084717737096777,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,77777,10,0.857986,0.4290,0.948901,0.1765,0.5130182268903195,0.6427047214941265,0.2316444700399598,1,0,False
HPDMobile,LSTM,512,0.05,15,32,5555,8,0.858942,0.4528,0.951126,0.1715,0.513852404284704,0.6439177467841651,0.23877330399476565,1,0,False
HPDMobile,LSTM,512,0.05,15,32,333,9,0.859048,0.3879,0.950990,0.1760,0.5138517206366422,0.6438240944431975,0.2409248579552759,1,0,False
HPDMobile,LSTM,512,0.05,15,32,1111,8,0.859179,0.4066,0.951217,0.1734,0.5139130254463767,0.6439472830509584,0.2439180557380666,1,0,False
HPDMobile,LSTM,512,0.05,15,32,888888,6,0.857724,0.3761,0.950173,0.1709,0.5128848119921284,0.6433592390042989,0.2506772860502585,1,0,False
HPDMobile,LSTM,512,0.05,15,32,22,9,0.858125,0.3857,0.949219,0.1756,0.5131254429334328,0.6428201360340984,0.2168555799530539,1,0,False
HPDMobile,LSTM,512,0.05,15,32,66666,9,0.858787,0.4044,0.949582,0.1787,0.5136262068689428,0.6430250917178418,0.24692879704547016,1,0,False
HPDMobile,LSTM,512,0.05,15,32,9999999,9,0.858108,0.3589,0.949537,0.1759,0.5131789242108192,0.6429959009485681,0.23458927168405103,1,0,False
HPDMobile,LSTM,512,0.05,15,32,66666,0,0.509590,0.7684,0.000000,10000000000.0000,0.009780205932881791,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,888888,0,0.607377,0.6356,0.000000,10000000000.0000,0.5191179815422684,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,4444,0,0.434970,0.7423,0.000000,10000000000.0000,0.052408993809063824,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,22,0,0.491829,0.8941,0.000000,10000000000.0000,0.5192833859184072,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,77777,0,0.495544,0.7204,0.000000,10000000000.0000,0.5191143703937515,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,9999999,0,0.501037,0.7146,0.000000,10000000000.0000,0.07281383089437936,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,333,0,0.493050,1.1464,0.000000,10000000000.0000,0.51927906815708,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,15,32,5555,0,0.741920,0.6615,0.000000,10000000000.0000,0.47128364175985393,0,0,-1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.423393,9.2205,0.000000,10000000000.0000,0.4119571090912953,0,0,-1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.426288,9.1730,0.000000,10000000000.0000,0.4119999665228418,0,0,1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.424516,9.2012,0.000000,10000000000.0000,0.40549452730861174,0,0,2,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.415176,9.3501,0.000000,10000000000.0000,0.40249155631260786,0,0,4,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.407420,9.4740,0.000000,10000000000.0000,0.3922704213089148,0,0,6,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.404438,9.5204,0.000000,10000000000.0000,0.382887670513968,0,0,8,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.403349,9.5387,0.000000,10000000000.0000,0.3843659139796222,0,0,10,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.423393,9.2205,0.000000,10000000000.0000,0.4119571090912953,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,10,32,5555,0,0.492180,0.8012,0.000000,10000000000.0000,0.5188118385553596,0,0,-1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.426288,9.1730,0.000000,10000000000.0000,0.4119999665228418,0,0,1,0,False
HPDMobile,LSTM,512,0.05,10,32,66666,0,0.496210,0.6879,0.000000,10000000000.0000,0.5125555704786757,0,0,-1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.424516,9.2012,0.000000,10000000000.0000,0.40549452730861174,0,0,2,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.415176,9.3501,0.000000,10000000000.0000,0.40249155631260786,0,0,4,0,False
HPDMobile,LSTM,512,0.05,10,32,77777,0,0.661270,0.6719,0.000000,10000000000.0000,0.49191100860722053,0,0,-1,0,False
HPDMobile,LSTM,512,0.05,10,32,1111,10,0.859040,0.3999,0.950763,0.1776,0.5137302839858817,0.6436416855733852,0.2389624438502572,1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.407420,9.4740,0.000000,10000000000.0000,0.3922704213089148,0,0,6,0,False
HPDMobile,LSTM,512,0.05,10,32,888888,0,0.492928,0.7189,0.000000,10000000000.0000,0.5192108972678322,0,0,-1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.404438,9.5204,0.000000,10000000000.0000,0.382887670513968,0,0,8,0,False
HPDMobile,LSTM,512,0.05,10,32,9999999,0,0.491226,0.7075,0.000000,10000000000.0000,0.5188176686265954,0,0,-1,0,False
HPDMobile,Naive,512,0.05,10,32,1111,0,0.403349,9.5387,0.000000,10000000000.0000,0.3843659139796222,0,0,10,0,False
HPDMobile,LSTM,512,0.05,10,32,22,10,0.858934,0.4252,0.951217,0.1743,0.5138900686182317,0.6439707601449917,0.22517312960578248,1,0,False
HPDMobile,LSTM,512,0.05,15,32,5555,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,66666,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,1111,8,0.856899,0.4513,0.946675,0.1768,0.512283950919003,0.6414713389806646,0.2058379306352182,1,1,True
HPDMobile,LSTM,512,0.05,15,32,77777,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,888888,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,9999999,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,22,10,0.856842,0.4464,0.946993,0.1754,0.5121912383302916,0.6415832077652033,0.1841779261991218,1,1,True
HPDMobile,LSTM,512,0.05,15,32,333,9,0.856082,0.4346,0.946721,0.1784,0.5116722961013588,0.6415193549861934,0.20773711515106125,1,1,True
HPDMobile,LSTM,512,0.05,15,32,1111,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,22,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,4444,10,0.858035,0.4491,0.949128,0.1747,0.5131743143188957,0.642817029624336,0.21293316773333393,1,1,True
HPDMobile,LSTM,512,0.05,15,32,5555,4,0.855444,0.4190,0.949991,0.1782,0.5112163020379722,0.6433683291278457,0.25385241299976796,1,1,True
HPDMobile,LSTM,512,0.05,15,32,333,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,4444,0,0.499824,0.7631,0.000000,10000000000.0000,0.4942489169232715,0,0,-1,1,True
HPDMobile,LSTM,512,0.05,15,32,66666,9,0.851808,0.4217,0.934956,0.1867,0.5086273498263799,0.6347505314590742,0.19570439938223844,1,1,True
