Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,Train_days,Num_frozen,Type
ECO,RF,,,,,,,0.701274004,2.925765057,,,0.819571214,,,15,2,RF
ECO,RF,,,,,,,0.720018155,20.25000402,,,0.831241878,,,3,2,RF
ECO,RF,,,,,,,0.697184496,8.772731578,,,0.817613409,,,6,2,RF
ECO,RF,,,,,,,0.642783619,5.49986351,,,0.773398692,,,9,2,RF
ECO,RF,,,,,,,0.672355689,4.038024809,,,0.797354804,,,12,2,RF
ECO,RF,,,,,,,0.51137523,3.152354419,,,0.658422829,,,15,2,RF
ECO,RF,,,,,,,0.492481561,20.91812927,,,0.649114935,,,3,2,RF
ECO,RF,,,,,,,0.627139382,9.011614567,,,0.763915352,,,6,2,RF
ECO,RF,,,,,,,0.703489374,5.448287742,,,0.821394667,,,9,2,RF
ECO,RF,,,,,,,0.710013021,4.058445672,,,0.828426893,,,12,2,RF
ECO,RF,,,,,,,0.717443444,3.101580988,,,0.832060196,,,15,2,RF
ECO,RF,,,,,,,0.6149166,20.31057469,,,0.748922444,,,3,2,RF
ECO,RF,,,,,,,0.632777476,8.436733837,,,0.763669087,,,6,2,RF
ECO,RF,,,,,,,0.651404861,5.55469361,,,0.782908206,,,9,2,RF
ECO,RF,,,,,,,0.723150961,4.068367133,,,0.836734725,,,12,2,RF
ECO,RF,,,,,,,0.574129964,3.162243152,,,0.72043384,,,15,2,RF
ECO,RF,,,,,,,0.643873823,20.50910196,,,0.775280851,,,3,2,RF
ECO,RF,,,,,,,0.753837069,8.796634462,,,0.857172224,,,6,2,RF
ECO,RF,,,,,,,0.664035066,5.516921706,,,0.790034196,,,9,2,RF
ECO,RF,,,,,,,0.655914116,4.125130047,,,0.784344473,,,12,2,RF
ECO,RF,,,,,,,0.593435004,3.126762649,,,0.736549891,,,15,2,RF
ECO,Naive,512,0.05,10,32,1111,0,0.376269,10.0429,0,10000000000,0.396502155,0,0,3,0,Naive
ECO,Naive,512,0.05,10,32,1111,0,0.374783,10.0666,0,10000000000,0.395084555,0,0,6,0,Naive
ECO,Naive,512,0.05,10,32,1111,0,0.376181,10.0442,0,10000000000,0.395350456,0,0,9,0,Naive
ECO,Naive,512,0.05,10,32,1111,0,0.373886,10.0807,0,10000000000,0.394017836,0,0,12,0,Naive
ECO,Naive,512,0.05,10,32,1111,0,0.373445,10.0878,0,10000000000,0.395341024,0,0,15,0,Naive
ECO,LSTM,512,0.05,10,32,1111,10,0.497805,0.6671,0.51285,0.6641,0.501421296,0.523190223,0.613442038,3,0,No Transfer
ECO,LSTM,512,0.05,10,32,1111,2,0.390604,0.7,0.931846,0.659,0.399694016,0.935441386,0.68767641,6,0,No Transfer
ECO,LSTM,512,0.05,10,32,1111,1,0.599269,0.6714,0.932636,0.6642,0.648597086,0.935788863,0.692273935,9,0,No Transfer
ECO,LSTM,512,0.05,10,32,1111,9,0.417241,0.6774,0.669415,0.5868,0.442486104,0.73157916,0.633606714,12,0,No Transfer
ECO,LSTM,512,0.05,10,32,1111,10,0.430501,0.6549,0.492736,0.6243,0.438884619,0.52711407,0.635848437,15,0,No Transfer
ECO,LSTM,512,0.05,10,32,22,1,0.731989,0.6743,0.927837,0.6674,0.751660723,0.93263961,0.691793535,3,0,No Transfer
ECO,LSTM,512,0.05,10,32,22,4,0.461217,0.6969,0.505996,0.688,0.477129749,0.540620601,0.687128679,6,0,No Transfer
