Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,,,,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.840536,0.3477,0.82845,0.3932,0.388849569,0.769933532,0.491131904,4,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.843984,0.3414,0.821858,0.4074,0.337709927,0.742517752,0.491131904,5,2,
